line_text,speaker
Hello.,Leslie Knope
Hi.,Leslie Knope
"My name is Leslie Knope, and I work for the Parks and Recreation Department.",Leslie Knope
Can I ask you a few questions?,Leslie Knope
"Would you say that you are, ""Enjoying yourself and having fun, having a moderate amount of fun and somewhat enjoying yourself, or having no fun and no enjoyment?""",Leslie Knope
I'm gonna put a lot of fun.,Leslie Knope
"Ms. Knope, there's a drunk stuck in the slide.",Child
"Sir, this is a children's slide.",Leslie Knope
You're not allowed to sleep in here.,Leslie Knope
What is?,Extra
"You know, when I first tell people that I work in the government, they say, ""Oh.""",Leslie Knope
"""The government.""",Leslie Knope
"""The government stinks.""",Leslie Knope
"""The lines are too long at the DMV.""",Leslie Knope
But now things have changed.,Leslie Knope
People need our help.,Leslie Knope
And it feels good to be needed.,Leslie Knope
Could you put your arms to your side?,Leslie Knope
And that might help you slide down a little easier.,Leslie Knope
We don't--,Drunk
Do you want to come this way?,Leslie Knope
Uhuh.,Drunk
"Okay, we're gonna need you to get out.",Leslie Knope
Can you please go away?,Drunk
Get out of the slide.,Leslie Knope
Okay?,Leslie Knope
You're Can you please go away?,Drunk
Here we go!,Leslie Knope
"Okay, wake up.",Leslie Knope
Here we go.,Leslie Knope
Out of the slide.,Leslie Knope
"You know, government isn't just a boys' club anymore.",Leslie Knope
Women are everywhere.,Leslie Knope
It's a great time to be a woman in politics.,Leslie Knope
"Hillary Clinton, Sarah Palin, me, Nancy Pelosi.",Leslie Knope
We did it!,Leslie Knope
"You know, I like to tell people, you know, ""Get on board and buckle up, because my ride's gonna be a big one.""",Leslie Knope
"And if you get motion sickness, you know, put your head between your knees 'cause Leslie Knope's stopping for no one.",Leslie Knope
Tonight is our next monthly community outreach public forum.,Ron Swanson
And that is tonight.,Leslie Knope
That is tonight.,Ron Swanson
Right.,Leslie Knope
Leslie will be running it.,Ron Swanson
And we need one more.,Ron Swanson
Who wants in?,Ron Swanson
Tom.,Ron Swanson
Fine.,Tom Haverford
This is a great thing for you guys to see.,Leslie Knope
This is where the rubber of government meets the road of actual human beings.,Leslie Knope
"When I go through these doors, I need to be on.",Leslie Knope
Like the White House Press Secretary.,Leslie Knope
Are you ready?,Leslie Knope
Yeah.,Tom Haverford
Okay.,Leslie Knope
Here we go.,Leslie Knope
It's locked.,Leslie Knope
Okay.,Leslie Knope
Here we go.,Leslie Knope
Thank you so much for coming.,Leslie Knope
What an amazing turnout.,Leslie Knope
My name is Leslie Knope.,Leslie Knope
"I am the deputy director of the Parks and Recreation Department, and tonight we're gonna be taking some of your questions as--",Leslie Knope
Hello?,Leslie Knope
We're having a meeting in here.,Leslie Knope
Does anybody have any questions about permits?,Tom Haverford
"So, take two.",Leslie Knope
"I'm Leslie Knope, and with me is department member Tom Haverford.",Leslie Knope
"We are here to answer any and all of your questions, so fire away.",Leslie Knope
"Well, it's a great day, because last month they put me in jail.",Extra
That's right.,Extra
The head of the police is a ninth degree Mason.,Extra
But the music is so loud.,Extra
"Stop the graffiti, please.",Extra
Please.,Extra
I don't like obscenities just as much as you don't like them.,Leslie Knope
"No, it drives me crazy.",Extra
I have kids.,Extra
Right.,Leslie Knope
"But I've got my little three year old, I'm going through the park and someone's like, ""Hey [bleep] my [bleep]"" And the guy's, ""You [bleep] my [bleep], you [bleep] head.""",Extra
"These people are members of a community that care about where they live, so what I hear when I'm being yelled at is people caring loudly at me.",Leslie Knope
"Now, I have a few things I want to say about Laura Linney.",Extra
"Thank you so much, Barry.",Leslie Knope
Always great to have you here.,Leslie Knope
Anyone else who would like to contribute?,Leslie Knope
Hi.,Ann Perkins
"Hi, hi.",Ann Perkins
Hi.,Ann Perkins
I'm Ann Perkins.,Ann Perkins
"I'm a nurse, and frankly, I don't really care for politics, but I'm here to talk about the abandoned lot on Sullivan Street.",Ann Perkins
Excellent.,Leslie Knope
That sounds like a good idea.,Leslie Knope
Tell us about that.,Leslie Knope
"No, it's a problem.",Ann Perkins
It almost killed my boyfriend.,Ann Perkins
Oh.,Leslie Knope
Yeah.,Ann Perkins
"There's a lot nearby my house, and a developer dug out a basement for some condos, and then they went bankrupt, so there's just this giant pit, and it's been there for almost a year.",Ann Perkins
"Twelve months, yes.",Leslie Knope
Go on.,Leslie Knope
"Yeah, and my boyfriend, who is a musician, actually, I support him, but anyway, he fell in and broke both his legs.",Ann Perkins
"Ann, let me speak with you for a minute.",Tom Haverford
"So, your boyfriend fell down into this pit, right?",Tom Haverford
Yes.,Ann Perkins
"And, this guy, is it pretty serious?",Tom Haverford
Are you guys living together?,Tom Haverford
Yes.,Ann Perkins
"Wow, I'm sure this must be really tough for you.",Tom Haverford
"You know, just, this guy, sounds like he didn't have a lot going on for him to start with, and now both legs broken.",Tom Haverford
He's just weak.,Tom Haverford
You have to take care of him.,Tom Haverford
You probably feel like you need to move on.,Tom Haverford
What does this--,Ann Perkins
"Just become more adventurous in relationships with your body, just in",Tom Haverford
Are you actually hitting on me right now?,Ann Perkins
Oh.,Tom Haverford
Oh.,Tom Haverford
"God, no.",Tom Haverford
I'm not hitting on you.,Tom Haverford
I'm actually married.,Tom Haverford
"I'm just an open person, and I like connecting with people.",Tom Haverford
"I'm, you know, very comfortable around women, attractive women.",Tom Haverford
I've spent a lot of time with them.,Tom Haverford
And I just-- I don't know.,Tom Haverford
I feel like we might be taking up too much of the forum's time.,Tom Haverford
Maybe we can just exchange numbers.,Tom Haverford
"You know, maybe go away one weekend and just kind of talk about this.",Tom Haverford
Look --,Ann Perkins
I'd love to do it.,Tom Haverford
"The bottom line is I've been trying to get this thing fixed for months, and nobody's done anything, and it's ugly, and it's dangerous, and it's government owned, and you need to do something about it.",Ann Perkins
Okay.,Leslie Knope
I'll do something about it.,Leslie Knope
Really?,Ann Perkins
"Yes, we-- I will help you.",Leslie Knope
Is that a promise?,Ann Perkins
It's more than a promise.,Leslie Knope
It's a pinky promise.,Leslie Knope
"I pinky promise all of you that I will help, and I will go to that location tomorrow, and we will fill in that pit, and then when that's done, we're gonna put a park on the land.",Leslie Knope
Okay.,Ann Perkins
"Well, I've worked at the Parks Department for six years, and I've handled a lot of things that I'm proud of.",Leslie Knope
"Recently, I led a city-wide drive to disinfect the sandbox sand after we had those problems with the cats.",Leslie Knope
"But this pit, the chance to build a whole new park from scratch, this could be my Hoover Dam.",Leslie Knope
"No, that sounds great.",Tom Haverford
"Problem is, anything over 25 dollars I have to report, so maybe give my wife a call and give her the suits, and then if they don't fit her, maybe she'll give them to me.",Tom Haverford
Morning.,Leslie Knope
"All right, Mr. Mayor.",Tom Haverford
That sounds good.,Tom Haverford
I'll see you on Saturday for the Ultimate Frisbee game.,Tom Haverford
Bye.,Tom Haverford
"Leslie, hello.",Tom Haverford
You were talking to the mayor?,Leslie Knope
"Yep, we were just rapping about some things.",Tom Haverford
Tom and I work really well together.,Leslie Knope
We're both outsiders.,Leslie Knope
"I'm a woman, he's a... I think he's a Libyan.",Leslie Knope
"I am from Bennettsville, South Carolina.",Tom Haverford
I am what you might call a redneck.,Tom Haverford
"Okay, brainstorm.",Leslie Knope
How do we make this park happen?,Leslie Knope
Let's go to the city council directly and ask them to put up the money.,Tom Haverford
"No, parks are not a priority.",Leslie Knope
I need more firepower.,Leslie Knope
I need bigger guns.,Leslie Knope
You know what I need to do?,Leslie Knope
Form a committee.,Leslie Knope
Right?,Leslie Knope
"Yeah, that could work.",Tom Haverford
"Yeah, 'cause committees are power, and committees make things happen.",Leslie Knope
Committees are the lifeblood of our democratic system.,Leslie Knope
That's really good.,Leslie Knope
Write that down.,Leslie Knope
Yep.,Tom Haverford
"From time to time, when I think of an eloquent saying or a phrase, I have Tom write it down.",Leslie Knope
He's collecting them for my memoirs.,Leslie Knope
Here's Leslie's quote from Wednesday.,Tom Haverford
"Okay, read it back to me.",Leslie Knope
"Um ""Committees cover our democracy with blood.""",Tom Haverford
Hmm.,Leslie Knope
Sounded better when I said it.,Leslie Knope
"It's still good, though.",Leslie Knope
"Okay, I have an idea.",Leslie Knope
What about bringing Mark on board?,Leslie Knope
Which Mark?,Tom Haverford
Which Mark?,Leslie Knope
Mark Brendanawicz.,Leslie Knope
Which Mark?,Leslie Knope
"Well, if you want something done in this town, you call Mark Brendanawicz because, you know, he's a city planner, but he's more than that.",Leslie Knope
He's kind of like a fixer.,Leslie Knope
He fixes things.,Leslie Knope
"He's a smart, capable guy.",Leslie Knope
He just-- He knows where the bodies are buried.,Leslie Knope
"What's up, Brendanawicz?",Leslie Knope
You crazy old Polish person.,Leslie Knope
"City Hall is like a locker room, and you gotta get in there, and you gotta snap towels at people, and you gotta give them the business, and if you can't take it, you know, you... Then you can't take it.",Leslie Knope
You gotta leave the locker room.,Leslie Knope
Let's get down to brass tacks.,Leslie Knope
I know you don't have a lot of time and I want to thank you for meeting me today.,Leslie Knope
I just work right there.,Mark Brendanawicz
"Well, thank you for clearing your schedule.",Leslie Knope
I didn't clear anything.,Mark Brendanawicz
"You know this lot that I'm talking about, right?",Leslie Knope
"Yeah, Lot 48.",Mark Brendanawicz
Condo developer.,Mark Brendanawicz
"He dug a basement, and then he went bankrupt.",Mark Brendanawicz
I checked it out like a month ago.,Mark Brendanawicz
It's pretty gross.,Mark Brendanawicz
What would you say if I told you that I was thinking about turning it into a park?,Leslie Knope
"A park, huh?",Mark Brendanawicz
Okay.,Mark Brendanawicz
"Well, when I think about the logistics, the various hoops that you're gonna have to jump through, I would say, is it likely?",Mark Brendanawicz
"No, it's not likely, you know.",Mark Brendanawicz
"But, is it possible?",Mark Brendanawicz
No.,Mark Brendanawicz
It's not possible.,Mark Brendanawicz
I would give up on that one.,Mark Brendanawicz
What?,Leslie Knope
Why?,Leslie Knope
